ACACIA VALLEY,5,FESTIVA,100
AFFINITY,6,FLAT,102
AMBASSADOR - STONE ATTACHE,7,FLORENTINE,103
AMITY,8,FONTE NATURAL STONE TILE,104
ANCHORAGE,9,FOREST PARK,105
ANNAPOLIS,10,FORMULA GROUP 1,106
ARCHAIA,11,FORMULA GROUP 2,107
ARMOR,12,GAINESWOOD,108
ARTICULO,13,GEOMETRIC FUSION,109
ARTIGIANO,14,GLEN ARBOR,110
ASSEMBLE,15,GRANITE NATURAL STONE TILE,111
ASTRONOMY,16,GRANITE RADIANCE GROUP 1,112
AVERY,17,GRANITE RADIANCE GROUP 2,113
AVIANO,18,HARMONIST,114
AVONDALE,19,HAUT MONDE - STONE ATTACHE,115
AYERS ROCK,20,HEATHLAND,116
BALANS,21,HEATHLAND DECOS AND MOSAICS,117
BATHROOM ACCESSORIES COLOR COORDINATES GROUP 1,22,HILL HOUSE,118
BATHROOM ACCESSORIES COLOR COORDINATES GROUP 2,23,IDYLLIC BLENDS,119
BATHROOM ACCESSORIES CONTEMPORARY GROUP 1,24,ILLUMINARY LINERS,120
BATHROOM ACCESSORIES CONTEMPORARY GROUP 2,25,ILLUMINARY MOSAICS,121
BATHROOM ACCESSORIES SPECIAL ORDER GROUP 1,26,IMAGICA,122
BATHROOM ACCESSORIES SPECIAL ORDER GROUP 2,27,INDUSTRIAL METALS,123
BATHROOM ACCESSORIES UNIVERSAL,28,INDUSTRIAL PARK,124
BEE HIVE (PTS),29,INFINITE MIRAGE (PTS),125
BEE HIVE MEDLEY GROUP 1,30,INTERSTELLAR (PTS),126
BEE HIVE MEDLEY GROUP 2,31,INVOKE,127
BELLANT (LVT),32,ION METALS,128
BRICKWORK,33,IRONCRAFT,129
CANNES,34,IRONCRAFT RANDOM INTERLOCKING MOSAIC,130
CAPE COAST,35,JEWEL TIDE (PTS),131
CAPRICE (PTS),36,KEYSTONE - COASTAL,132
CASCADING WATERS,37,KEYSTONE BLENDS GROUP 1,133
CENTER CITY NATURAL STONE TILE,38,KEYSTONE BLENDS GROUP 2,134
CHAIR RAIL,39,KEYSTONE PERMATONE/PERMABRITE PATTERNS AND BORDERS,135-136
CHORD,40,KEYSTONES UNGLAZED MOSAICS GROUP 1,137
CHOREO,41,KEYSTONES UNGLAZED MOSAICS GROUP 2,138
CINEMATIC,42,KEYSTONES UNGLAZED MOSAICS GROUP 3,139
CITY LIGHTS (PTS),43,KEYSTONES UNGLAZED MOSAICS GROUP 4,140
CLIO MOSAICS,44,KEYSTONES UNGLAZED MOSAICS GROUP S,141
COLOR WAVE GLASS CLASSIC BLENDS,45,KEYSTONES WITH CLEARFACE GROUP 1,142
COLOR WAVE GLASS CLASSIC COLORS,46,KEYSTONES WITH CLEARFACE GROUP 2,143
COLOR WAVE GLASS PTS PLUS SPECIAL ORDER,47,KEYSTONES WITH CLEARFACE GROUP 3,144
COLOR WAVE GLASS VIBRANT COLORS,48,KEYSTONES WITH CLEARFACE GROUP 4,145
COLOR WHEEL CLASSIC GROUP 1,49,KEYSTONES WITH CLEARFACE GROUP S,146
COLOR WHEEL CLASSIC GROUP 2,51,KIMONA SILK,147
COLOR WHEEL CLASSIC GROUP 3,53,KONCRETE,148
COLOR WHEEL LINEAR GROUP 1,55,KONCRETE DECOS,149
COLOR WHEEL LINEAR GROUP 2,56,LANGTON (LVT),150
COLOR WHEEL LINEAR GROUP 3,57,LAVALIERE NATURAL STONE MOSAICS,151
COLOR WHEEL MOSAIC GROUP 1,58,LIMESTONE NATURAL STONE TILE,152-155
COLOR WHEEL MOSAIC GROUP 2,59,LINDEN POINT,156
COLOR WHEEL MOSAIC GROUP 3,60,LINERS,157
COLOR WHEEL MOSAIC PATTERNS,61,LUCENT SKIES (PTS),158
COLORMATCH GROUP 1,62-63,MARBLE NATURAL STONE TILE,159-164
COLORMATCH GROUP 2,64-65,MARBLE ATTACHE,165
COLORMATCH LINERS & CHAIR RAIL,66,MARBLE ATTACHE LAVISH,166
COMMISSARY,67,MARBLE ATTACHE LAVISH DECOS,167
COMPOSITION GROUP 1,68,MARBLE FALLS,168
COMPOSITION GROUP 2,69,MARIELA,169
CONCRETE MASONRY (PTS),70,MARVEL (PTS),170
CONFECTIONERY,71,MASSALIA,171
CONSULATE,72,MATCH POINT (PTS),172
CONTINENTAL SLATE,73,MEDALLIONS - STONE,173
CONTINENTAL SLATE DECOS,74,MEMOIR,174
COSTAR,75,METAL FUSION (PTS),175
COTTO CONTEMPO,76,METALLICA (PTS),176
COVE CREEK,77,METRO IMPRESSIONS,177
CRYSTAL SHORES,78,MINUTE MOSAIX,178
CYROSE (LVT),79,MODERN HEARTH,179
DELEGATE - STONE ATTACHE,80,MODERNIST (PTS),180
DIGNITARY - STONE ATTACHE,81,MODULATE,181
DIPLOMACY - STONE ATTACHE,82,MOSAIC TRADITIONS,182
EC1 GROUP 1,83,MULTITUDE,183
EC1 GROUP 2,84,MUSEO,184
ELECT,85,MYCITY LONDON,185
ELIXEN (LVT),86,MYCITY NEW YORK,186
EMBLEM,87,MYCITY SHANGHAI,187
EMERSON WOOD,88,MYTHOLOGY,188
ENDEAVORS (PTS),89,NATURAL HUES GROUP 1,189-190
ESTA VILLA,90,NATURAL HUES GROUP 2,191-192
EVER GROUP 1,91,OCEAN JEWELS,193
EVER GROUP 2,92,OCTAGON WITH DOT,195
EXHIBITION,93,OPULENCE (PTS),196
EXQUISITE,94,P'ZAZZ (PTS) BLENDS,197
EXQUISITE DECOS,95,P'ZAZZ (PTS) GROUP 1,198
FABRIC ART MODERN KALEIDOSCOPE,96,P'ZAZZ (PTS) GROUP 2,199
FABRIC ART MODERN LINEAR,97,PANORAMIC PORCELAIN,200
FABRIC ART MODERN TEXTILE,98,PARKSVILLE STONE NATURAL STONE TILE,201
FABRIQUE,99,PARKWAY,202
PAVER GROUP 1,203,UNITY,295
PAVER GROUP 2,204,UPTOWN GLASS MOSAICS,296
PETRA JURA (PTS),205,URBAN METALS,297
PLAZA NOVA,206,URBANIZE,298
POLARIS,207,VALENCE,299
POLARIS DECOS,208,VERANDA,300
PORCEALTO GROUP 1,209,VERANDA DECOS,301
PORCEALTO GROUP 2,210,VERTUO,302
PORTFOLIO,211,VICINITY,303
PORTFOLIO BLENDS,212,VINTAGE HEX (PTS),304
PORTFOLIO CONFETTI GROUP 1,213,VINTAGE METALS,305
PORTFOLIO CONFETTI GROUP 2,214,VISION ON NATURAL HUES GROUP 1,306
PORTFOLIO VIVID,215,VISION ON NATURAL HUES GROUP 2,307
QUARRY TEXTURES GROUP 1,216,VITRUVIAN,308
QUARRY TEXTURES GROUP 2,217-218,VIVIFY (PTS),309
QUARRY TILE GROUP 1,219,VOLUME 1.0,310
QUARRY TILE GROUP 2,220,VOLUME 1.1,311
QUARTETTO,221,WELLSRIDGE,312
RAINE NATURAL STONE TILE,222,WELLSRIDGE (LVT),313
REGAL PENDANT (PTS),223,WILLOW BEND,314
REMEDY,224,YORKWOOD MANOR,315
REMINISCENT,225,,
RENDER METALS,226,,
RESEMBLANCE,227,,
RESILIENCE,228,,
RETRO ROUNDS (PTS) GROUP 1,229,,
RETRO ROUNDS (PTS) GROUP 2,230,,
RETROSPACE,231,,
REVALIA,232,,
REVALIA REMIX,233,,
REVO TILE,234,,
REVO TILE ACCESSORIES,235,,
RHETORIC,236,,
RHETORIC MOSAICS,237,,
RITTENHOUSE SQUARE GROUP 2,238,,
RIVER MARBLE,239,,
SADDLE BROOK,240,,
SADDLE BROOK XT,241,,
SANDALO,242,,
SANDALO DECOS AND MOSAICS,243,,
SANTINO,244,,
SEASON WOOD,245,,
SECTOR,246,,
SERENADE (PTS),247,,
SEVERINO,248,,
SEVERINO DECOS,249,,
SHOWSCAPE GROUP 1,250,,
SHOWSCAPE GROUP 2,251,,
SIERRA,252,,
SIMPLYSTICK MOSAIX,253,,
SKYBRIDGE,254,,
SLATE NATURAL STONE TILE,255,,
SLATE ATTACHE GROUP 1,256,,
SLATE ATTACHE GROUP 2,257,,
SLIMLITE PORCELAIN PANELS ALLOY EFFECTS,258,,
SLIMLITE PORCELAIN PANELS CLASSIC GROUP 1,259,,
SLIMLITE PORCELAIN PANELS CLASSIC GROUP 2,260,,
SLIMLITE PORCELAIN PANELS CLASSIC GROUP 3,261,,
SLIMLITE PORCELAIN PANELS CLASSIC GROUP 4,262,,
SLIMLITE PORCELAIN PANELS COASTLINE,263,,
SLIMLITE PORCELAIN PANELS TERRA,264,,
SLIMLITE SLATE & QUARTZITE,265,,
SOCIETY,266,,
SPECIALTY - BISQUE,267,,
STACKED STONE,268,,
STATUETTE (PTS),269,,
STONE A' LA MOD,270,,
STONE DECORATIVE ACCENTS NATURAL STONE TILE,271,,
STRATFORD PLACE,272,,
STRATFORD PLACE DECOS AND MOSAICS,273,,
STRUCTURE GROUP 1,274,,
STRUCTURE GROUP 2,275,,
SUBLIMITY NATURAL STONE TILE,276,,
SURETREAD GROUP 1,277,,
SURETREAD GROUP 2,278,,
SURETREAD - PAVER TRIM GROUP 1,279,,
SURETREAD - PAVER TRIM GROUP 2,280,,
TERRACE,281,,
THRESHOLDS AND WINDOWSILLS,282,,
TIGER EYE GROUP 1,283,,
TIMBER GLEN CONTEMPORARY (PTS),284,,
TRAVANE (LVT),285,,
TRAVERTINE NATURAL STONE TILE,286-287,,
TRAVERTINE - BUILDER SELECT NATURAL STONE TILE,288,,
TRELLIS OAK,289,,
UNIFORM CONCRETE GROUP 1,290,,
UNIFORM CONCRETE GROUP 2,291,,
UNIFORM MOSAICS,292,,
UNIFORM WOOD GROUP 1,293,,
UNIFORM WOOD GROUP 2,294,,
ACACIA VALLEY #,,,,Units/,U/M,Price
"",,,,Carton,,
FLOOR TILE,,,,,,
6 X 36 6361PF,,FIELD TILE,AV05  Ash,12.78,SF,4.53
"",,FIELD TILE,AV06  Ark,12.78,SF,4.53
"",,FIELD TILE,AV07  Alder,12.78,SF,4.53
"",,FIELD TILE,AV08  Ridge,12.78,SF,4.53
9 X 36 9361PF,,FIELD TILE,AV13  Ash,13.02,SF,4.76
"",,FIELD TILE,AV14  Ark,13.02,SF,4.76
